"","disp_key","rpt_date","submit_number","facility_no","field_pool","opno","dis_sold","dis_reinject","flare_gtr","flare_lt","pilot_purge","assist_gas","used","d_other","tr_from","tr_to","ng_leq","purch_gas","amnd_rpt","cmmnt","dt_mod"
"5619",43542,"03/01/16 00:00:00",1330000021,38,0,124250,0,0,0,2638,570,0,86190,0,62775,0,0,0,0,"","04/22/16 08:43:32"
"5620",43543,"03/01/16 00:00:00",1330000011,11,0,124250,341159,0,0,25,45,0,7976,0,0,0,0,0,0,"","04/21/16 08:14:34"
"5621",43544,"03/01/16 00:00:00",2830000003,31,0,124250,3046,0,30,45,0,0,362,0,0,0,0,0,0,"","04/21/16 08:14:34"
"5622",43545,"03/01/16 00:00:00",1330000031,44,0,124250,118754,0,0,0,0,0,1753,0,0,0,0,0,0,"","04/21/16 08:14:34"
"5623",43546,"03/01/16 00:00:00",1330000016,32,0,124250,0,0,0,780,595,0,844,0,0,0,0,22052,0,"","04/21/16 08:14:34"
"5624",43547,"03/01/16 00:00:00",1330000013,14,0,124250,459364,0,167,0,0,0,558,0,0,-197112,0,0,0,"","04/21/16 08:14:34"
"5625",43548,"03/01/16 00:00:00",1330000041,55,0,124250,0,0,0,0,0,0,0,0,0,0,0,0,0,"","04/21/16 08:14:34"
"5626",43549,"03/01/16 00:00:00",2830000002,30,0,124250,29947,0,0,0,0,0,2464,0,0,0,0,0,0,"","04/21/16 08:14:34"
"5627",43550,"03/01/16 00:00:00",1330000018,15,0,124250,0,0,0,0,0,0,0,0,0,0,0,0,0,"","04/21/16 08:14:34"
"5628",43551,"03/01/16 00:00:00",2310000004,61,0,124250,0,0,0,0,0,0,0,0,0,0,0,0,0,"","04/21/16 08:14:34"
"5629",43552,"03/01/16 00:00:00",2830000006,33,0,124250,0,0,0,0,0,0,0,0,0,0,0,0,0,"","04/21/16 08:14:34"
"5630",43553,"03/01/16 00:00:00",1330000024,17,0,124250,0,0,0,0,0,0,0,0,0,0,0,9,0,"","04/21/16 08:14:34"
"5631",43554,"03/01/16 00:00:00",2310000001,50,0,124250,161651,0,0,0,0,0,0,0,0,0,0,0,0,"","04/21/16 08:14:34"
"5632",43555,"03/01/16 00:00:00",2830000007,36,0,124250,0,0,0,0,0,0,0,0,0,0,0,0,0,"","04/21/16 08:14:34"
"5633",43556,"03/01/16 00:00:00",1330000030,42,0,124250,0,0,0,0,0,0,0,0,0,0,0,0,0,"","04/21/16 08:14:34"
"5634",43557,"03/01/16 00:00:00",1330000014,32,0,124250,0,0,0,1359,165,0,7751,0,0,0,0,23574,0,"","04/21/16 08:14:34"
"5635",43558,"03/01/16 00:00:00",1330000032,45,0,124250,105075,0,0,0,0,0,1893,0,0,0,0,0,0,"","04/21/16 08:14:34"
"5636",43559,"03/01/16 00:00:00",1330000002,35,0,124250,16506,225441,13,506,976,0,104544,0,112587,-13651,6802,152692,0,"Lines 15, 16, 17 revised 1/2019, no change to lines 6 through 14, see 10-422 for full remarks.","01/14/19 10:54:12"
"5637",43560,"03/01/16 00:00:00",1330000012,13,0,124250,1630120,0,0,9,0,0,86515,0,197112,0,0,0,0,"","04/21/16 08:14:34"
"5638",43561,"03/01/16 00:00:00",1330000033,46,0,124250,722987,0,0,0,0,0,6303,0,0,0,0,0,0,"","04/21/16 08:14:34"
"5639",43562,"03/01/16 00:00:00",1330000080,13,0,124250,3279,598295,0,0,0,0,251,0,0,0,0,3838,0,"","04/21/16 08:14:34"
"5640",43563,"03/01/16 00:00:00",1330000036,16,0,124250,0,0,0,0,0,0,0,0,0,0,0,8,0,"","04/21/16 08:14:34"
"5641",43564,"03/01/16 00:00:00",2830000080,33,0,124250,0,0,0,0,0,0,0,0,0,0,0,414,0,"","04/21/16 08:14:34"
"5642",43565,"03/01/16 00:00:00",1330000043,64,0,124250,104776,0,0,0,0,0,151,0,0,0,0,0,0,"","04/21/16 08:14:34"
"5643",43566,"03/01/16 00:00:00",1330000028,18,0,124250,0,0,0,0,0,0,0,0,0,0,0,0,0,"","04/21/16 08:14:34"
"5644",43567,"03/01/16 00:00:00",1330000081,35,0,124250,110248,13876,2,82,158,0,16898,0,0,-108869,0,0,0,"","03/28/17 09:00:28"
"5645",43568,"03/01/16 00:00:00",1330000040,56,0,124250,30728,0,198,0,0,0,1329,0,0,0,0,0,0,"","04/25/16 07:07:49"
"5646",43571,"04/01/16 00:00:00",230000003,19,0,131300,137846,0,350,0,0,0,717,0,0,0,0,0,0,"0
0","05/10/16 12:47:06"
"5647",43572,"04/01/16 00:00:00",230000002,19,0,131300,7313,0,0,0,0,0,0,0,0,0,0,0,0,"00
0","05/10/16 12:47:39"
"5648",43573,"04/01/16 00:00:00",1330000044,65,0,119850,316241,0,727,0,0,0,15831,0,0,0,0,0,0,"0
0
0","05/11/16 07:48:27"
"5649",43614,"04/01/16 00:00:00",2310000004,61,0,124250,0,0,0,0,0,0,0,0,0,0,0,0,0,"","05/24/16 07:25:54"
"5650",43615,"04/01/16 00:00:00",1330000014,32,0,124250,0,0,0,1496,180,0,8334,0,0,0,0,21597,0,"","05/24/16 07:25:54"
"5651",43590,"02/01/16 00:00:00",290000008,7,0,112300,1463570,4784788,0,1647,21055,37906,2685370,0,215251704,-206257369,1463570,0,0,"Block 6: Gas equivalent of NGLs; Block 18: Includes MI Gas to Pt. McIntyre = 1,877,510 mscf","05/19/16 13:28:05"
"5652",43591,"02/01/16 00:00:00",290000009,9,0,112300,95897,10920252,0,0,10803,81495,829254,236388,1877510,0,95897,0,0,"Block 13: Lift Gas Off Field;  Block 17: MI from Prudhoe = 1,877,510 and Fuel Gas from Prudhoe = 0","05/19/16 13:28:05"
"5653",43593,"04/01/16 00:00:00",1330000027,10,0,116525,0,0,13,0,24,0,9472,0,0,-12040,0,0,0,"","05/19/16 13:29:27"
"5654",43594,"04/01/16 00:00:00",1330000029,41,0,116525,0,0,0,0,106,0,4072,0,0,-14524,0,0,0,"","05/19/16 13:29:27"
"5655",43595,"04/01/16 00:00:00",2310000003,58,0,116525,201889,0,0,0,0,0,18776,0,29479,0,0,0,0,"","05/19/16 13:29:27"
"5656",43596,"04/01/16 00:00:00",1330000026,10,0,116525,405,0,0,0,0,0,51,0,0,0,0,0,0,"","05/19/16 13:29:27"
"5657",43616,"04/01/16 00:00:00",1330000009,27,0,124250,0,0,0,0,409,0,3136,0,3545,0,0,189,0,"","05/24/16 07:25:54"
"5658",43598,"04/01/16 00:00:00",290000019,2,0,136670,0,18033,11,70,390,0,47464,0,0,0,0,82,0,"","05/19/16 14:28:19"
"5659",43617,"04/01/16 00:00:00",1330000016,32,0,124250,0,0,0,1076,310,0,2187,0,0,0,0,24363,0,"","05/24/16 07:25:54"
"5660",43618,"04/01/16 00:00:00",1330000023,38,0,124250,0,0,127,5417,180,0,56650,0,42283,0,0,0,0,"","05/24/16 07:25:54"
"5661",43619,"04/01/16 00:00:00",1330000081,35,0,124250,64423,20040,555,11,205,0,17491,0,0,-64055,0,0,0,"","05/05/17 10:21:59"
"5662",43620,"04/01/16 00:00:00",1330000018,15,0,124250,0,0,0,0,0,0,0,0,0,0,0,0,0,"","05/24/16 07:25:54"
"5663",43621,"04/01/16 00:00:00",1330000036,16,0,124250,0,0,0,0,0,0,0,0,0,0,0,219,0,"","05/24/16 07:25:54"
"5664",43622,"04/01/16 00:00:00",2830000003,31,0,124250,12100,0,30,65,0,0,715,0,0,0,0,0,0,"","05/24/16 07:25:54"
"5665",43623,"04/01/16 00:00:00",1330000031,44,0,124250,112716,0,0,0,0,0,1667,0,0,0,0,0,0,"","05/24/16 07:25:54"
"5666",43624,"04/01/16 00:00:00",2830000006,33,0,124250,321,0,0,0,0,0,0,0,0,0,0,0,0,"","05/24/16 07:25:54"
